symbol,frame,datetime,open,high,low,close,volume
MGOL,1m,2/7/25 1:00,0.3106,0.3599,0.3106,0.3386,24030
MGOL,1m,2/7/25 1:01,0.3386,0.3388,0.3265,0.3265,11337
MGOL,1m,2/7/25 1:02,0.329,0.3352,0.324,0.3288,8203
MGOL,1m,2/7/25 1:03,0.3251,0.3275,0.308,0.3123,8875
MGOL,1m,2/7/25 1:04,0.3124,0.318,0.311,0.3124,5318
MGOL,1m,2/7/25 1:05,0.3124,0.3145,0.2852,0.3011,11921
MGOL,1m,2/7/25 1:06,0.3008,0.3099,0.2995,0.3069,4510
MGOL,1m,2/7/25 1:07,0.305,0.3116,0.3038,0.3115,4021
MGOL,1m,2/7/25 1:08,0.3118,0.3144,0.3106,0.3137,2757
MGOL,1m,2/7/25 1:09,0.3134,0.3137,0.3028,0.3046,3931
MGOL,1m,2/7/25 1:10,0.304,0.305,0.2903,0.2954,5148
MGOL,1m,2/7/25 1:11,0.2954,0.3033,0.2937,0.295,2532
MGOL,1m,2/7/25 1:12,0.295,0.309,0.295,0.3062,2954
MGOL,1m,2/7/25 1:13,0.3064,0.3089,0.3029,0.3042,2119
MGOL,1m,2/7/25 1:14,0.3041,0.3043,0.2999,0.3022,1824
MGOL,1m,2/7/25 1:15,0.3022,0.3022,0.3001,0.3005,1570
MGOL,1m,2/7/25 1:16,0.3006,0.301,0.295,0.2955,3097
MGOL,1m,2/7/25 1:17,0.2954,0.3039,0.2936,0.2985,1834
MGOL,1m,2/7/25 1:18,0.2985,0.3007,0.297,0.3,1815
MGOL,1m,2/7/25 1:19,0.3006,0.31,0.2993,0.3086,3657
MGOL,1m,2/7/25 1:20,0.3085,0.316,0.306,0.3159,2971
MGOL,1m,2/7/25 1:21,0.3155,0.318,0.3048,0.3096,4995
MGOL,1m,2/7/25 1:22,0.309,0.315,0.306,0.31,2024
MGOL,1m,2/7/25 1:23,0.3101,0.3134,0.3015,0.3068,1935
MGOL,1m,2/7/25 1:24,0.3056,0.3097,0.3022,0.3025,1346
MGOL,1m,2/7/25 1:25,0.3025,0.3084,0.3,0.3051,1848
MGOL,1m,2/7/25 1:26,0.3051,0.3085,0.302,0.3034,983
MGOL,1m,2/7/25 1:27,0.303,0.304,0.3006,0.3027,1197
MGOL,1m,2/7/25 1:28,0.3022,0.3072,0.3012,0.3071,1210
MGOL,1m,2/7/25 1:29,0.3071,0.3145,0.3059,0.3114,3384
MGOL,1m,2/7/25 1:30,0.3117,0.3127,0.307,0.307,2324
MGOL,1m,2/7/25 1:31,0.307,0.311,0.3031,0.3109,2463
MGOL,1m,2/7/25 1:32,0.3108,0.3144,0.31,0.3136,2877
MGOL,1m,2/7/25 1:33,0.3144,0.3165,0.311,0.3128,3220
MGOL,1m,2/7/25 1:34,0.3112,0.3127,0.3071,0.308,1462
MGOL,1m,2/7/25 1:35,0.308,0.3102,0.3073,0.3096,1128
MGOL,1m,2/7/25 1:36,0.3095,0.3096,0.305,0.3087,1715
MGOL,1m,2/7/25 1:37,0.3092,0.316,0.305,0.3098,2836
MGOL,1m,2/7/25 1:38,0.3085,0.3122,0.307,0.31,1374
MGOL,1m,2/7/25 1:39,0.31,0.3103,0.306,0.3097,1692
MGOL,1m,2/7/25 1:40,0.3094,0.3098,0.3063,0.3073,799
MGOL,1m,2/7/25 1:41,0.3082,0.309,0.3069,0.308,775
MGOL,1m,2/7/25 1:42,0.308,0.309,0.3071,0.3076,789
MGOL,1m,2/7/25 1:43,0.308,0.308,0.3055,0.3066,1062
MGOL,1m,2/7/25 1:44,0.3063,0.3077,0.3061,0.3067,1511
MGOL,1m,2/7/25 1:45,0.3063,0.3067,0.3041,0.3047,1944
MGOL,1m,2/7/25 1:46,0.3045,0.3049,0.2993,0.301,2763
MGOL,1m,2/7/25 1:47,0.301,0.3011,0.2972,0.2972,3857
MGOL,1m,2/7/25 1:48,0.2975,0.2976,0.292,0.2922,3937
MGOL,1m,2/7/25 1:49,0.2924,0.298,0.2922,0.298,1927
MGOL,1m,2/7/25 1:50,0.2975,0.3038,0.2975,0.2998,1275
MGOL,1m,2/7/25 1:51,0.3,0.3025,0.2998,0.301,1592
MGOL,1m,2/7/25 1:52,0.3006,0.302,0.2998,0.3008,900
MGOL,1m,2/7/25 1:53,0.3,0.3008,0.2991,0.2991,422
MGOL,1m,2/7/25 1:54,0.2997,0.3,0.298,0.2993,721
MGOL,1m,2/7/25 1:55,0.2993,0.2993,0.2956,0.2969,863
MGOL,1m,2/7/25 1:56,0.2969,0.2995,0.2969,0.2994,494
MGOL,1m,2/7/25 1:57,0.299,0.299,0.2952,0.2957,627
MGOL,1m,2/7/25 1:58,0.2962,0.2987,0.2958,0.2982,901
MGOL,1m,2/7/25 1:59,0.2982,0.2983,0.2959,0.2971,520
MGOL,1m,2/7/25 2:00,0.2976,0.2978,0.296,0.2977,746
MGOL,1m,2/7/25 2:01,0.2977,0.2987,0.296,0.2964,533
MGOL,1m,2/7/25 2:02,0.2963,0.2965,0.2932,0.2946,1471
MGOL,1m,2/7/25 2:03,0.2946,0.2959,0.2903,0.2903,2234
MGOL,1m,2/7/25 2:04,0.2907,0.292,0.2861,0.2874,3584
MGOL,1m,2/7/25 2:05,0.2882,0.2892,0.2834,0.284,3231
MGOL,1m,2/7/25 2:06,0.2837,0.284,0.2765,0.2777,8352
MGOL,1m,2/7/25 2:07,0.2778,0.2813,0.2772,0.278,4306
