ent_coef,gamma,gae_lambda,n_steps,clip_range,n_epochs,batch_size,total_reward
0.001,0.9,0.9,1024,0.1,5,32,25.29999999999999
0.001,0.9,0.9,1024,0.1,5,64,24.499999999999968
0.001,0.9,0.9,1024,0.1,10,32,13.799999999999983
0.001,0.9,0.9,1024,0.1,10,64,19.10000000000006
0.001,0.9,0.9,1024,0.2,5,32,19.00000000000002
0.001,0.9,0.9,1024,0.2,5,64,0.0
0.001,0.9,0.9,1024,0.2,10,32,22.59999999999996
0.001,0.9,0.9,1024,0.2,10,64,25.999999999999964
0.001,0.9,0.9,2048,0.1,5,32,23.7
0.001,0.9,0.9,2048,0.1,5,64,46.60000000000004
0.001,0.9,0.9,2048,0.1,10,32,25.499999999999968
0.001,0.9,0.9,2048,0.1,10,64,20.399999999999974
0.001,0.9,0.9,2048,0.2,5,32,32.2
0.001,0.9,0.9,2048,0.2,5,64,34.89999999999999
0.001,0.9,0.9,2048,0.2,10,32,19.199999999999996
0.001,0.9,0.9,2048,0.2,10,64,21.299999999999986
0.001,0.9,0.95,1024,0.1,5,32,29.200000000000056
0.001,0.9,0.95,1024,0.1,5,64,25.79999999999999
0.001,0.9,0.95,1024,0.1,10,32,34.8
0.001,0.9,0.95,1024,0.1,10,64,25.59999999999996
0.001,0.9,0.95,1024,0.2,5,32,20.60000000000006
0.001,0.9,0.95,1024,0.2,5,64,25.700000000000056
0.001,0.9,0.95,1024,0.2,10,32,29.600000000000072
0.001,0.9,0.95,1024,0.2,10,64,15.399999999999968
0.001,0.9,0.95,2048,0.1,5,32,28.00000000000002
0.001,0.9,0.95,2048,0.1,5,64,24.499999999999968
0.001,0.9,0.95,2048,0.1,10,32,25.399999999999977
0.001,0.9,0.95,2048,0.1,10,64,36.40000000000005
0.001,0.9,0.95,2048,0.2,5,32,14.200000000000049
0.001,0.9,0.95,2048,0.2,5,64,14.200000000000049
0.001,0.9,0.95,2048,0.2,10,32,34.49999999999998
0.001,0.9,0.95,2048,0.2,10,64,20.80000000000004
0.001,0.95,0.9,1024,0.1,5,32,23.100000000000072
0.001,0.95,0.9,1024,0.1,5,64,34.89999999999999
0.001,0.95,0.9,1024,0.1,10,32,30.30000000000005
0.001,0.95,0.9,1024,0.1,10,64,24.499999999999968
0.001,0.95,0.9,1024,0.2,5,32,21.000000000000078
0.001,0.95,0.9,1024,0.2,5,64,28.100000000000012
0.001,0.95,0.9,1024,0.2,10,32,21.100000000000012
0.001,0.95,0.9,1024,0.2,10,64,23.100000000000072
